abbrev.id,metric,dataset,comprehensiblility,reproduciblity,vizualization,EDA,statistical.merit,total
8867,test1,happiness,4,4,4,5,4,21
5963,test1,flossing,5,5,5,5,4,24
2253,test1,green.roofs,5,4,5,4,4,22
5290,test1,education.value,3,3,4,3,4,17
7585,test1,education.value,3,3,4,3,4,17
2220,test1,paris.agreement,3,4,4,3,4,18
9292,test1,happiness,4,3,4,4,3,18
7666,test1,happiness,4,5,4,4,4,21
7710,test1,running.records,5,5,4,4,4,22
7836,test1,happiness,4,5,4,5,4,22
2167,test1,green.roofs,4,4,3,3,3,17
8473,test1,green.roofs,5,5,4,4,5,23
6030,test1,happiness,3,4,4,3,4,18
9741,test1,happiness,4,5,5,4,5,23
8533,test1,education.value,5,5,5,4,5,24
1345,test1,running.records,3,4,4,4,3,18
4125,test1,flossing,5,5,4,4,5,23
8675,test1,running.records,3,4,3,3,4,17
1164,test1,flossing,3,5,5,4,4,21
8202,test1,happiness,4,5,4,4,4,21
8867,revised.code,happiness,4,4,4,5,5,22
5963,revised.code,flossing,5,5,5,5,5,25
2253,revised.code,green.roofs,5,5,5,5,5,25
5290,revised.code,education.value,4,4,4,5,4,21
7585,revised.code,education.value,4,4,4,5,4,21
2220,revised.code,paris.agreement,4,5,5,5,4,23
9292,revised.code,happiness,4,5,5,5,4,23
7666,revised.code,happiness,5,5,5,5,4,24
7710,revised.code,running.records,5,5,5,5,4,24
7836,revised.code,happiness,5,5,5,5,4,24
2167,revised.code,green.roofs,4,4,4,4,4,20
8473,revised.code,green.roofs,5,5,5,5,5,25
6030,revised.code,happiness,5,5,4,5,5,24
9741,revised.code,happiness,5,5,5,5,5,25
8533,revised.code,education.value,5,5,5,5,5,25
1345,revised.code,running.records,5,4,4,4,4,21
4125,revised.code,flossing,5,5,5,4,5,24
8675,revised.code,running.records,5,5,4,4,4,22
1164,revised.code,flossing,4,5,5,5,4,23
8202,revised.code,happiness,5,5,5,5,4,24
